data_availability_score,employee_acceptance_score,evidence,expected_automation_range,human_supervision_level,human_supervision_score,implementation_complexity,integration_feasibility_score,opportunity_id,overall_ai_fit_score,recommended_ai_mode,recommended_phase,repeatability_score,reversibility_score,risk_score,task_id,value_score,verification_score,workflow_id,workflow_stability_score
0.45,0.7,Task Operations Coordinator recurring workflow task in workflow Operations core process scored 0.5945,23% - 43%,Low,0.9,High,0.8,4832b3f9-a37e-4c39-8ad7-b022df00d1c9,0.5945,Not recommended for AI,Phase 2: AI literacy and workflow redesign,0.55,0.45,0.75,T-01,1.0,0.97,W-01,0.89
0.9,0.7,Task Scheduler recurring workflow task in workflow Customer Support core process scored 0.7655,30% - 50%,Medium,0.9,Medium,0.55,5281b880-5ab9-491f-a2ed-7025afc83218,0.7655,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-02,1.0,0.955,W-02,0.86
0.9,0.7,Task Quality Analyst recurring workflow task in workflow Finance core process scored 0.776,31% - 51%,Medium,0.9,Moderate,0.8,c0517bfb-73f7-4ab6-a883-2eeada79f444,0.776,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-03,1.0,0.94,W-03,0.8300000000000001
0.9,0.7,Task Support Specialist recurring workflow task in workflow Human Resources core process scored 0.7715,30% - 50%,Medium,0.9,Moderate,0.8,3d6de58c-e139-4ce6-bbb0-2f6101a6ed3d,0.7715,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-04,1.0,0.925,W-04,0.8
0.9,0.7,Task Support Lead recurring workflow task in workflow Sales core process scored 0.6425,25% - 45%,Low,0.9,Medium,0.55,c8dc63c8-73bc-4d42-bf11-d0cd62dddd77,0.6425,Not recommended for AI,Phase 4: Supervised AI Agent buildout,0.55,0.75,0.75,T-05,1.0,0.97,W-05,0.77
0.45,0.7,Task Billing Analyst recurring workflow task in workflow Operations core process scored 0.7085,28% - 48%,Medium,0.9,Medium,0.8,768e363d-7fe0-40bf-ba9a-8ec486e7a51d,0.7085,AI-assisted knowledge task,Phase 4: Supervised AI Agent buildout,1.0,0.45,0.35,T-06,1.0,0.955,W-01,0.89
0.9,0.7,Task AP Specialist recurring workflow task in workflow Customer Support core process scored 0.764,30% - 50%,Medium,0.9,Medium,0.55,d76e1e25-6f86-4559-bb8e-1f2eabcc65ee,0.764,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-07,1.0,0.94,W-02,0.86
0.9,0.7,Task HR Generalist recurring workflow task in workflow Finance core process scored 0.7745,30% - 50%,Medium,0.9,Moderate,0.8,ce91f17e-e8a2-4e86-9fd7-f659f0d71914,0.7745,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-08,1.0,0.925,W-03,0.8300000000000001
0.9,0.7,Task Recruiting Coordinator recurring workflow task in workflow Human Resources core process scored 0.6605,26% - 46%,Low,0.9,Medium,0.8,8a83ff41-8254-4586-bb16-899a3002e0c0,0.6605,Not recommended for AI,Phase 4: Supervised AI Agent buildout,0.55,0.75,0.75,T-09,1.0,0.97,W-04,0.8
0.9,0.7,Task Sales Operations Analyst recurring workflow task in workflow Sales core process scored 0.7565,30% - 50%,Medium,0.9,Medium,0.55,34d747ea-6f0b-48ee-912b-7adecca66882,0.7565,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-10,1.0,0.955,W-05,0.77
0.45,0.7,Task Account Executive recurring workflow task in workflow Operations core process scored 0.707,28% - 48%,Medium,0.9,Medium,0.8,31e6ba28-d0d6-47af-a566-6378c61d7369,0.707,AI-assisted knowledge task,Phase 4: Supervised AI Agent buildout,1.0,0.45,0.35,T-11,1.0,0.94,W-01,0.89
0.9,0.7,Task Revenue Analyst recurring workflow task in workflow Customer Support core process scored 0.7625,30% - 50%,Medium,0.9,Medium,0.55,58fb7710-a7f8-42c4-9a46-e257f93a56d8,0.7625,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-12,1.0,0.925,W-02,0.86
0.9,0.7,Task Procurement Specialist recurring workflow task in workflow Finance core process scored 0.6635,26% - 46%,Low,0.9,Medium,0.8,b4aff5e3-0bd3-4035-9e21-7479b2e936e7,0.6635,Not recommended for AI,Phase 4: Supervised AI Agent buildout,0.55,0.75,0.75,T-13,1.0,0.97,W-03,0.8300000000000001
0.9,0.7,Task Inventory Analyst recurring workflow task in workflow Human Resources core process scored 0.7745,30% - 50%,Medium,0.9,Moderate,0.8,9f691a93-02d6-4d0f-b149-c914a9178dae,0.7745,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-14,1.0,0.955,W-04,0.8
0.9,0.7,Task Compliance Reviewer recurring workflow task in workflow Sales core process scored 0.755,30% - 50%,Medium,0.9,Medium,0.55,5cbfc13f-4f70-4b52-8eb3-955800268746,0.755,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-15,1.0,0.94,W-05,0.77
0.45,0.7,Task Reporting Analyst recurring workflow task in workflow Operations core process scored 0.7055,28% - 48%,Medium,0.9,Medium,0.8,24415e41-59aa-47e9-81b5-e29e9c6ab252,0.7055,AI-assisted knowledge task,Phase 4: Supervised AI Agent buildout,1.0,0.45,0.35,T-16,1.0,0.925,W-01,0.89
0.9,0.7,Task Workflow Supervisor recurring workflow task in workflow Customer Support core process scored 0.6515,26% - 46%,Low,0.9,Medium,0.55,6405cd5d-f32d-4c4f-a7c0-0e622ef397e1,0.6515,Not recommended for AI,Phase 4: Supervised AI Agent buildout,0.55,0.75,0.75,T-17,1.0,0.97,W-02,0.86
0.9,0.7,Task Customer Onboarding Specialist recurring workflow task in workflow Finance core process scored 0.7775,31% - 51%,Medium,0.9,Moderate,0.8,92706227-5b31-42e2-a478-50187dc61356,0.7775,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-18,1.0,0.955,W-03,0.8300000000000001
0.9,0.7,Task Data Steward recurring workflow task in workflow Human Resources core process scored 0.773,30% - 50%,Medium,0.9,Moderate,0.8,0ccdef0c-4779-47b4-a117-cf49848c2efc,0.773,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-19,1.0,0.94,W-04,0.8
0.9,0.7,Task Training Specialist recurring workflow task in workflow Sales core process scored 0.7535,30% - 50%,Medium,0.9,Medium,0.55,6412fc94-69d9-4226-a62a-b5a60de3e587,0.7535,AI-assisted knowledge task,Phase 3: Pilot selection and proof of value,1.0,0.75,0.35,T-20,1.0,0.925,W-05,0.77
